Day,Progress,✍️ Journaling,👟 Running,💤 8hrs of sleep,🧘 Meditation
18th,3,Yes,No,Yes,Yes
8th,1,No,No,Yes,No
6th,3,Yes,No,Yes,Yes
28th,2,Yes,No,No,Yes
23rd,2,Yes,No,Yes,No
7th,2,Yes,No,No,Yes
3rd,2,Yes,Yes,No,No
5th,3,No,Yes,Yes,Yes
2nd,3,Yes,Yes,No,Yes
15th,4,Yes,Yes,Yes,Yes
10th,0,No,No,No,No
9th,4,Yes,Yes,Yes,Yes
30th,1,No,No,No,Yes
4th,1,No,No,No,Yes
26th,3,Yes,Yes,Yes,No
20th,3,Yes,Yes,Yes,No
14th,2,Yes,No,Yes,No
22nd,1,No,No,No,Yes
1st,4,Yes,Yes,Yes,Yes
21st,1,No,No,Yes,No
12th,2,No,No,Yes,Yes
11th,1,No,No,No,Yes
19th,1,Yes,No,No,No
17th,0,No,No,No,No
13th,2,No,Yes,No,Yes
29th,3,No,Yes,Yes,Yes
25th,1,No,No,No,Yes
16th,1,No,No,No,Yes
24th,4,Yes,Yes,Yes,Yes
31st,1,No,No,No,Yes
27th,2,Yes,No,No,Yes
